Year,Month,Day,Temp_Max[?øC],Temp_Mean[?øC],Temp_Min[?øC],Weather Category,,Emirate
2021,7,25,47.3,39.5,34.4,Sunny and Hot,,Abu Dhabi
2018,7,1,46.5,38.5,33.1,Sunny and Hot,,Abu Dhabi
2020,5,6,42.8,31.8,20.5,Sunny and Hot,,Abu Dhabi
2019,8,24,46.4,38.1,31.4,Sunny and Hot,,Abu Dhabi
2021,11,4,36,27.9,20.8,Sunny and Warm,,Abu Dhabi
2022,10,31,36.9,29,23,Sunny and Warm,,Abu Dhabi
2018,7,29,48,40,35.3,Sunny and Hot,,Abu Dhabi
2020,7,21,47.3,39.1,32.7,Sunny and Hot,,Abu Dhabi
2022,7,30,42.8,36.4,31.9,Sunny and Hot,,Abu Dhabi
2020,6,26,45.3,36.3,31.8,Sunny and Hot,,Abu Dhabi
2022,12,15,30.4,23.3,17.6,Sunny and Warm,,Abu Dhabi
2020,10,18,38.4,28.8,19.7,Sunny and Warm,,Abu Dhabi
2018,4,17,40.7,32.6,26.2,Sunny and Hot,,Abu Dhabi
2021,9,23,39,33.2,27,Sunny and Hot,,Abu Dhabi
2022,4,2,35.3,26.2,17.4,Sunny and Warm,,Abu Dhabi
2020,3,3,26.1,21.7,19,Sunny and Warm,,Abu Dhabi
2022,8,18,46.5,36.1,28.9,Sunny and Hot,,Abu Dhabi
2020,11,7,34.3,27.4,19.8,Sunny and Warm,,Abu Dhabi
2021,6,22,48.1,37.5,29,Sunny and Hot,,Abu Dhabi
2019,12,28,26.6,18.7,11.8,Cold and Cloudy,,Abu Dhabi
2020,9,2,45,35.7,29.2,Sunny and Hot,,Abu Dhabi
2018,12,23,25,20.9,16,Sunny and Warm,,Abu Dhabi
2018,12,7,32.2,23.6,16.8,Sunny and Warm,,Abu Dhabi
2018,1,14,25.6,18.8,13.4,Cold and Cloudy,,Abu Dhabi
2022,5,19,43.4,33.7,26,Sunny and Hot,,Abu Dhabi
2022,8,29,43.2,34.8,28.6,Sunny and Hot,,Abu Dhabi
2018,11,14,33.3,27.4,21.8,Sunny and Warm,,Abu Dhabi
2021,1,8,24.9,18.3,12.7,Cold and Cloudy,,Abu Dhabi
2021,5,19,45.7,35.8,26.2,Sunny and Hot,,Abu Dhabi
2020,10,26,36.2,27.7,20.1,Sunny and Warm,,Abu Dhabi
2022,7,16,46.2,39.9,35.1,Sunny and Hot,,Abu Dhabi
2020,7,7,43.2,35.6,27.3,Sunny and Hot,,Abu Dhabi
2022,2,11,30.1,21.6,13.4,Sunny and Warm,,Abu Dhabi
2020,5,29,45.6,36.5,28.2,Sunny and Hot,,Abu Dhabi
2020,1,19,27.6,19.8,12.8,Cold and Cloudy,,Abu Dhabi
2018,6,30,48.6,39.3,33.1,Sunny and Hot,,Abu Dhabi
2023,1,8,24.8,20.5,17.3,Sunny and Warm,,Abu Dhabi
2018,10,21,39,31.1,25.3,Sunny and Hot,,Abu Dhabi
2018,10,16,35.5,30.3,25.9,Sunny and Hot,,Abu Dhabi
2020,4,20,38.9,31.3,27.3,Sunny and Hot,,Abu Dhabi
2021,2,2,25.1,19.1,13,Cold and Cloudy,,Abu Dhabi
2021,3,23,34.9,25.6,16.7,Sunny and Warm,,Abu Dhabi
2022,5,5,40.6,31.3,22.8,Sunny and Hot,,Abu Dhabi
2020,5,17,44.2,33.5,25.6,Sunny and Hot,,Abu Dhabi
2019,7,21,45.3,37.6,33.9,Sunny and Hot,,Abu Dhabi
2018,6,18,43,34.6,25.1,Sunny and Hot,,Abu Dhabi
2021,4,27,43.1,34.4,26.3,Sunny and Hot,,Abu Dhabi
2021,4,18,36.3,28,18.6,Sunny and Warm,,Abu Dhabi
2018,8,18,44.5,35.3,28.8,Sunny and Hot,,Abu Dhabi
2020,4,29,39.7,33,27.9,Sunny and Hot,,Abu Dhabi
2021,10,21,37.1,30.9,24.9,Sunny and Hot,,Abu Dhabi
2020,7,8,46.2,36.6,29.1,Sunny and Hot,,Abu Dhabi
2020,7,10,48.3,39.1,32.3,Sunny and Hot,,Abu Dhabi
2018,2,27,32.8,24.6,20.1,Sunny and Warm,,Abu Dhabi
2018,12,13,27.7,21,14.4,Sunny and Warm,,Abu Dhabi
2022,9,8,42.4,34.9,29.8,Sunny and Hot,,Abu Dhabi
2021,2,14,29.2,21.3,16.7,Sunny and Warm,,Abu Dhabi
2020,2,8,30.8,21.2,12.8,Sunny and Warm,,Abu Dhabi
2019,10,19,38.3,30.4,24.6,Sunny and Hot,,Abu Dhabi
2018,10,22,39.3,30.7,24.2,Sunny and Hot,,Abu Dhabi
2022,5,9,37.1,31.7,28.2,Sunny and Hot,,Abu Dhabi
2020,1,13,21.9,17.7,13.5,Cold and Cloudy,,Abu Dhabi
2022,1,10,25.7,19.3,14,Cold and Cloudy,,Abu Dhabi
2021,1,9,25.3,17.5,9.1,Cold and Cloudy,,Abu Dhabi
2022,9,6,45.5,36.4,29.2,Sunny and Hot,,Abu Dhabi
2018,12,13,27.7,21,14.4,Sunny and Warm,,Abu Dhabi
2019,7,7,44.5,37.1,30.3,Sunny and Hot,,Abu Dhabi
2019,9,24,44.8,35.5,28.5,Sunny and Hot,,Abu Dhabi
2022,11,19,33.3,26.8,20.6,Sunny and Warm,,Abu Dhabi
2022,10,14,39.5,30.4,22.5,Sunny and Hot,,Abu Dhabi
2018,6,9,43.3,36.5,31.7,Sunny and Hot,,Abu Dhabi
2022,10,25,37.6,29.8,23.2,Sunny and Warm,,Abu Dhabi
2019,7,11,43.3,35.4,26.4,Sunny and Hot,,Abu Dhabi
2020,1,4,30.3,23.1,16.7,Sunny and Warm,,Abu Dhabi
2019,12,19,25.7,23,20.4,Sunny and Warm,,Abu Dhabi
2022,8,30,43.2,34.9,28.1,Sunny and Hot,,Abu Dhabi
2022,9,14,45.3,36.5,29.9,Sunny and Hot,,Abu Dhabi
2018,7,31,44.3,37.2,32.7,Sunny and Hot,,Abu Dhabi
2021,3,30,32,25.5,20.4,Sunny and Warm,,Abu Dhabi
2022,1,29,24.8,20.2,16.2,Sunny and Warm,,Abu Dhabi
2022,6,16,43.6,36.7,29,Sunny and Hot,,Abu Dhabi
2022,9,23,43.5,34.5,26.6,Sunny and Hot,,Abu Dhabi
2020,10,17,37.9,28.5,19.9,Sunny and Warm,,Abu Dhabi
2022,2,6,23.8,20.8,18.5,Sunny and Warm,,Abu Dhabi
2018,3,4,27.8,20.8,13.7,Sunny and Warm,,Abu Dhabi
2018,4,3,32.7,27,20.9,Sunny and Warm,,Abu Dhabi
2019,4,20,41.8,32.5,25,Sunny and Hot,,Abu Dhabi
2019,3,27,29.6,25.5,22.5,Sunny and Warm,,Abu Dhabi
2022,8,22,46.4,36.5,29.7,Sunny and Hot,,Abu Dhabi
2022,11,26,31.5,24.8,17.8,Sunny and Warm,,Abu Dhabi
2021,2,7,28.2,21.8,15.8,Sunny and Warm,,Abu Dhabi
2018,9,10,45.3,36.5,29.2,Sunny and Hot,,Abu Dhabi
2019,3,15,25.8,22.2,19.7,Sunny and Warm,,Abu Dhabi
2021,8,21,44.1,36.9,32.4,Sunny and Hot,,Abu Dhabi
2020,7,2,44.2,38,34.3,Sunny and Hot,,Abu Dhabi
2019,11,10,30.4,23.3,20.1,Sunny and Warm,,Abu Dhabi
2021,11,4,36,27.9,20.8,Sunny and Warm,,Abu Dhabi
2022,7,27,39.1,34,30.3,Sunny and Hot,,Abu Dhabi
2018,6,1,43.6,35.3,26.8,Sunny and Hot,,Abu Dhabi
2019,6,22,45.3,36.4,31.3,Sunny and Hot,,Abu Dhabi
2020,6,10,45.5,37.1,31.6,Sunny and Hot,,Abu Dhabi
2020,10,17,37.9,28.5,19.9,Sunny and Warm,,Abu Dhabi
2018,12,30,27.1,19.7,13.3,Cold and Cloudy,,Abu Dhabi
2019,2,8,25.9,17.6,9.5,Cold and Cloudy,,Abu Dhabi
2019,6,15,47.2,35.4,27.9,Sunny and Hot,,Abu Dhabi
2020,3,1,31.5,22.4,13.4,Sunny and Warm,,Abu Dhabi
2022,1,2,27.4,23.3,19.3,Sunny and Warm,,Abu Dhabi
2020,3,10,28.4,22.3,16.6,Sunny and Warm,,Abu Dhabi
2018,12,20,27.2,21,13.2,Sunny and Warm,,Abu Dhabi
2018,11,2,34.8,28.6,24.4,Sunny and Warm,,Abu Dhabi
2019,9,25,40.9,33.8,30.2,Sunny and Hot,,Abu Dhabi
2020,11,27,30.6,24.3,18.8,Sunny and Warm,,Abu Dhabi
2020,8,27,44.8,37.6,33.7,Sunny and Hot,,Abu Dhabi
2018,11,17,34.6,27.8,23,Sunny and Warm,,Abu Dhabi
2022,4,15,40.3,32.9,26.2,Sunny and Hot,,Abu Dhabi
2020,3,25,26.9,20.8,14.7,Sunny and Warm,,Abu Dhabi
2022,5,5,40.6,31.3,22.8,Sunny and Hot,,Abu Dhabi
2019,4,15,32.6,25.6,19.7,Sunny and Warm,,Abu Dhabi
2019,1,11,24.1,20.5,18.1,Sunny and Warm,,Abu Dhabi
2021,9,12,46,37.3,31.5,Sunny and Hot,,Abu Dhabi
2019,12,25,26.7,19.8,13.1,Cold and Cloudy,,Abu Dhabi
2020,1,13,21.9,17.7,13.5,Cold and Cloudy,,Abu Dhabi
2020,5,18,44.1,33.8,26.1,Sunny and Hot,,Abu Dhabi
2018,9,8,44.4,35.1,29.8,Sunny and Hot,,Abu Dhabi
2022,8,3,46.2,39.5,35,Sunny and Hot,,Abu Dhabi
2019,3,25,33.3,29.2,26.1,Sunny and Warm,,Abu Dhabi
2018,9,22,42.8,34,28.5,Sunny and Hot,,Abu Dhabi
2022,6,25,45.7,36.9,31.5,Sunny and Hot,,Abu Dhabi
2022,8,9,48.8,39.7,33.2,Sunny and Hot,,Abu Dhabi
2020,7,25,43.1,37,32.5,Sunny and Hot,,Abu Dhabi
2019,4,8,36,29.9,25.9,Sunny and Warm,,Abu Dhabi
2020,6,14,45.7,35.9,28.5,Sunny and Hot,,Abu Dhabi
2021,8,11,48.6,38.6,31.1,Sunny and Hot,,Abu Dhabi
2019,2,12,22.6,20.6,18,Sunny and Warm,,Abu Dhabi
2021,12,4,27.8,23.6,19.8,Sunny and Warm,,Abu Dhabi
2022,10,13,41.4,31.3,24.2,Sunny and Hot,,Abu Dhabi
2021,3,23,34.9,25.6,16.7,Sunny and Warm,,Abu Dhabi
2022,5,11,36.1,29.9,22.8,Sunny and Warm,,Abu Dhabi
2022,5,6,45.2,33.5,24.2,Sunny and Hot,,Abu Dhabi
2021,1,14,24.1,18.2,12.4,Cold and Cloudy,,Abu Dhabi
2021,5,30,48.5,35.9,27.3,Sunny and Hot,,Abu Dhabi
2018,8,13,43.2,36.3,30.6,Sunny and Hot,,Abu Dhabi
2022,8,20,48.9,37.9,29.7,Sunny and Hot,,Abu Dhabi
2019,3,8,25.1,19.7,14.3,Cold and Cloudy,,Abu Dhabi
2022,2,3,27.6,20.4,13.5,Sunny and Warm,,Abu Dhabi
2021,6,3,47.6,36.1,27.9,Sunny and Hot,,Abu Dhabi
2023,1,25,23.8,19.2,15.6,Cold and Cloudy,,Abu Dhabi
2022,2,5,31.4,21.6,13.7,Sunny and Warm,,Abu Dhabi
2022,12,31,25.5,21.7,18.3,Sunny and Warm,,Abu Dhabi
2022,5,23,46.2,33.5,24.7,Sunny and Hot,,Abu Dhabi
2022,2,22,24.5,20.3,17.1,Sunny and Warm,,Abu Dhabi
2019,2,16,30.8,24.1,16.3,Sunny and Warm,,Abu Dhabi
2020,4,9,43.4,32.9,23.9,Sunny and Hot,,Abu Dhabi
2022,1,14,28,20.3,12.8,Sunny and Warm,,Abu Dhabi
2018,11,21,28.8,25.6,23,Sunny and Warm,,Abu Dhabi
2018,1,29,22.2,18.8,16.2,Cold and Cloudy,,Abu Dhabi
2019,1,22,23.3,18,11.2,Cold and Cloudy,,Abu Dhabi
2019,1,29,29.3,23.3,17.5,Sunny and Warm,,Abu Dhabi
2021,7,16,43.5,38.3,34.3,Sunny and Hot,,Abu Dhabi
2020,3,21,31.1,25.5,20.3,Sunny and Warm,,Abu Dhabi
2018,5,1,39,31.7,25.1,Sunny and Hot,,Abu Dhabi
2022,10,31,36.9,29,23,Sunny and Warm,,Abu Dhabi
2018,8,30,41.5,34.7,29.3,Sunny and Hot,,Abu Dhabi
2018,11,7,34.6,27.3,20.8,Sunny and Warm,,Abu Dhabi
2020,7,12,49.5,39.5,32.6,Sunny and Hot,,Abu Dhabi
2018,12,11,29.2,24,19.4,Sunny and Warm,,Abu Dhabi
2020,9,26,43.5,33,24.9,Sunny and Hot,,Abu Dhabi
2018,12,5,30.8,23.1,14.4,Sunny and Warm,,Abu Dhabi
2021,2,18,34.4,25.4,16.8,Sunny and Warm,,Abu Dhabi
2022,4,11,39.7,29.7,22.9,Sunny and Warm,,Abu Dhabi
2018,1,17,23.8,19.7,16.2,Cold and Cloudy,,Abu Dhabi
2019,11,29,28.6,22.2,16.2,Sunny and Warm,,Abu Dhabi
2021,10,1,43.3,33.3,26.4,Sunny and Hot,,Abu Dhabi
2019,8,24,46.4,38.1,31.4,Sunny and Hot,,Abu Dhabi
2021,7,5,47.3,38.3,29.9,Sunny and Hot,,Abu Dhabi
2020,9,24,44.9,33.3,23.7,Sunny and Hot,,Abu Dhabi
2020,6,12,44.1,35.6,26.9,Sunny and Hot,,Abu Dhabi
2019,5,8,40.8,31.7,24.3,Sunny and Hot,,Abu Dhabi
2018,1,16,25.1,18.1,13.2,Cold and Cloudy,,Abu Dhabi
2022,6,25,45.7,36.9,31.5,Sunny and Hot,,Abu Dhabi
2022,9,3,44.9,35,28.1,Sunny and Hot,,Abu Dhabi
2022,1,11,25.6,19.4,13.6,Cold and Cloudy,,Abu Dhabi
2019,11,19,31.1,25.7,19.9,Sunny and Warm,,Abu Dhabi
2019,12,18,29.1,24.3,21.1,Sunny and Warm,,Abu Dhabi
2021,4,6,31.2,25.3,20,Sunny and Warm,,Abu Dhabi
2019,6,30,47.7,37.1,27.8,Sunny and Hot,,Abu Dhabi
2022,9,7,44.1,35.7,30.1,Sunny and Hot,,Abu Dhabi
2022,9,15,45.4,36.8,29.7,Sunny and Hot,,Abu Dhabi
2019,12,26,26.9,19.6,12.7,Cold and Cloudy,,Abu Dhabi
2019,10,2,42.7,33.5,26.9,Sunny and Hot,,Abu Dhabi
2023,1,7,26.1,20.1,17.9,Sunny and Warm,,Abu Dhabi
2021,12,18,28.6,22,16.1,Sunny and Warm,,Abu Dhabi
2021,11,17,33.3,26.1,20.5,Sunny and Warm,,Abu Dhabi
2020,11,7,34.3,27.4,19.8,Sunny and Warm,,Abu Dhabi
2020,8,24,45.1,37.5,33.2,Sunny and Hot,,Abu Dhabi
2019,4,1,41.3,33.3,25.4,Sunny and Hot,,Abu Dhabi
2021,3,3,36.5,27.5,20.7,Sunny and Warm,,Abu Dhabi
2023,1,5,29.2,23.1,17.7,Sunny and Warm,,Abu Dhabi
2020,8,6,44,36.9,31.8,Sunny and Hot,,Abu Dhabi
2020,6,28,45.3,36.4,32.1,Sunny and Hot,,Abu Dhabi
2018,9,28,42.9,34.5,27,Sunny and Hot,,Abu Dhabi
2022,9,3,44.9,35,28.1,Sunny and Hot,,Abu Dhabi
2020,6,27,46.2,37.4,32.3,Sunny and Hot,,Abu Dhabi
2018,3,18,29.9,23.9,19,Sunny and Warm,,Abu Dhabi
2020,1,30,24,17.9,12.1,Cold and Cloudy,,Abu Dhabi
2021,11,27,33,25.3,18.5,Sunny and Warm,,Abu Dhabi
2019,5,1,34.7,28.1,22.6,Sunny and Warm,,Abu Dhabi
2022,9,8,42.4,34.9,29.8,Sunny and Hot,,Abu Dhabi
2020,6,19,42.2,33.9,27.7,Sunny and Hot,,Abu Dhabi
2019,3,23,33.8,28.2,23.7,Sunny and Warm,,Abu Dhabi
2018,3,19,28.6,23.3,18.8,Sunny and Warm,,Abu Dhabi
2021,2,18,34.4,25.4,16.8,Sunny and Warm,,Abu Dhabi
2020,9,9,43.9,34.9,26.7,Sunny and Hot,,Abu Dhabi
2019,2,3,26.5,21.5,18.9,Sunny and Warm,,Abu Dhabi
2020,6,10,45.5,37.1,31.6,Sunny and Hot,,Abu Dhabi
2018,5,25,42.4,34.4,26.3,Sunny and Hot,,Abu Dhabi
2022,8,23,44.3,35.9,30.4,Sunny and Hot,,Abu Dhabi
2022,11,2,38,28.7,20.5,Sunny and Warm,,Abu Dhabi
2018,12,29,28.1,20.2,13,Sunny and Warm,,Abu Dhabi
2018,10,12,39.7,31.3,24.5,Sunny and Hot,,Abu Dhabi
2021,6,11,40.5,34.1,28,Sunny and Hot,,Abu Dhabi
2018,7,25,44.5,36.2,28.3,Sunny and Hot,,Abu Dhabi
2021,4,4,31.5,26.1,22.5,Sunny and Warm,,Abu Dhabi
2020,10,6,41.4,32.5,24.9,Sunny and Hot,,Abu Dhabi
2020,5,30,45.8,37.4,30.7,Sunny and Hot,,Abu Dhabi
2019,9,21,43.6,34,27.2,Sunny and Hot,,Abu Dhabi
2019,9,18,46.1,35.2,29.7,Sunny and Hot,,Abu Dhabi
2019,10,14,39.3,32,27,Sunny and Hot,,Abu Dhabi
2021,6,4,47.1,35.8,27.7,Sunny and Hot,,Abu Dhabi
2022,12,15,30.4,23.3,17.6,Sunny and Warm,,Abu Dhabi
2022,9,14,45.3,36.5,29.9,Sunny and Hot,,Abu Dhabi
2021,2,10,27.7,22,17.7,Sunny and Warm,,Abu Dhabi
2019,7,24,45.1,37.7,33.4,Sunny and Hot,,Abu Dhabi
2020,10,24,38.7,27.8,19,Sunny and Warm,,Abu Dhabi
2022,5,17,39.1,30.5,21.6,Sunny and Hot,,Abu Dhabi
2022,6,10,44,36.9,30.8,Sunny and Hot,,Abu Dhabi
2019,11,4,35,27.3,20.3,Sunny and Warm,,Abu Dhabi
2020,9,12,47.4,36.3,27.2,Sunny and Hot,,Abu Dhabi
2020,7,28,44.4,39.2,36.3,Sunny and Hot,,Abu Dhabi
2021,4,22,42.4,32,23,Sunny and Hot,,Abu Dhabi
2019,11,11,29.9,23.6,17,Sunny and Warm,,Abu Dhabi
2020,3,8,33.8,23.4,15.7,Sunny and Warm,,Abu Dhabi
2018,7,19,42.1,36,30.1,Sunny and Hot,,Abu Dhabi
2019,8,16,47.8,38,32.1,Sunny and Hot,,Abu Dhabi
2021,12,8,29.8,23.6,18,Sunny and Warm,,Abu Dhabi
2018,10,14,38.5,30.5,21.5,Sunny and Hot,,Abu Dhabi
2022,4,23,39.6,29.8,22.3,Sunny and Warm,,Abu Dhabi
2021,1,21,26.7,18.6,12.5,Cold and Cloudy,,Abu Dhabi
2019,9,29,43.1,34.4,27.8,Sunny and Hot,,Abu Dhabi
2020,6,10,45.5,37.1,31.6,Sunny and Hot,,Abu Dhabi
2020,4,13,35.5,30.5,26.7,Sunny and Hot,,Abu Dhabi
2019,7,1,47,37.3,28.7,Sunny and Hot,,Abu Dhabi
2021,4,17,33.5,27.4,21.4,Sunny and Warm,,Abu Dhabi
2022,5,18,40.8,31.4,24.4,Sunny and Hot,,Abu Dhabi
2018,7,3,43.3,35.1,27.1,Sunny and Hot,,Abu Dhabi
2019,11,2,32.5,28.8,24.9,Sunny and Warm,,Abu Dhabi
2019,2,15,28.6,20.4,12.9,Sunny and Warm,,Abu Dhabi
2021,10,22,36.1,30.9,25.5,Sunny and Hot,,Abu Dhabi
2022,11,7,34.6,28.4,22.6,Sunny and Warm,,Abu Dhabi
2022,6,27,41.9,35.4,30.6,Sunny and Hot,,Abu Dhabi
2020,1,30,24,17.9,12.1,Cold and Cloudy,,Abu Dhabi
2021,4,28,41.3,34.6,29,Sunny and Hot,,Abu Dhabi
2021,5,28,41.8,33.2,25.5,Sunny and Hot,,Abu Dhabi
2022,7,3,43.3,35.6,31,Sunny and Hot,,Abu Dhabi
2021,5,20,44.6,34.8,25.7,Sunny and Hot,,Abu Dhabi
2019,7,19,40.9,35.3,31.1,Sunny and Hot,,Abu Dhabi
2020,3,19,34.4,28,24.1,Sunny and Warm,,Abu Dhabi
2018,12,17,29.6,22,13.9,Sunny and Warm,,Abu Dhabi
2020,4,7,35.3,25.7,16.5,Sunny and Warm,,Abu Dhabi
2021,5,12,41.7,31.8,23.3,Sunny and Hot,,Abu Dhabi
2020,8,18,42.8,36.4,31.4,Sunny and Hot,,Abu Dhabi
2022,5,17,39.1,30.5,21.6,Sunny and Hot,,Abu Dhabi
2020,7,20,45.7,38.2,33.9,Sunny and Hot,,Abu Dhabi
2019,6,14,44.6,35.5,29.5,Sunny and Hot,,Abu Dhabi
2018,8,14,43.6,36.1,31.9,Sunny and Hot,,Abu Dhabi
2021,11,15,33.9,26.4,19.7,Sunny and Warm,,Abu Dhabi
2019,8,4,44.9,36.4,31.2,Sunny and Hot,,Abu Dhabi
2021,10,1,43.3,33.3,26.4,Sunny and Hot,,Abu Dhabi
2020,12,22,25.8,20.6,15,Sunny and Warm,,Abu Dhabi
2020,1,16,22.2,17,11,Cold and Cloudy,,Abu Dhabi
2021,4,14,39.9,32.6,25.4,Sunny and Hot,,Abu Dhabi
2018,4,8,36,28.3,22.6,Sunny and Warm,,Abu Dhabi
2022,8,5,43.1,37.5,32.9,Sunny and Hot,,Abu Dhabi
2020,11,21,33.3,26,19.8,Sunny and Warm,,Abu Dhabi
2020,4,6,32.9,26.9,21.4,Sunny and Warm,,Abu Dhabi
2018,12,4,30.5,23,17.2,Sunny and Warm,,Abu Dhabi
2022,9,8,42.4,34.9,29.8,Sunny and Hot,,Abu Dhabi
2019,5,10,41.2,32.7,24.5,Sunny and Hot,,Abu Dhabi
2022,12,13,28.7,22,16.6,Sunny and Warm,,Abu Dhabi
2019,1,20,22,18.6,15.8,Cold and Cloudy,,Abu Dhabi
2019,1,15,29.7,22.5,15.8,Sunny and Warm,,Abu Dhabi
2018,2,11,29.1,19.2,10.5,Cold and Cloudy,,Abu Dhabi
2020,11,8,34.9,28.6,24.5,Sunny and Warm,,Abu Dhabi
2021,5,18,44.1,34.1,26.5,Sunny and Hot,,Abu Dhabi
2022,4,8,42.2,31.9,22.3,Sunny and Hot,,Abu Dhabi
2019,6,27,47.2,37.9,31.4,Sunny and Hot,,Abu Dhabi
2018,8,31,44,34.8,28.1,Sunny and Hot,,Abu Dhabi
2022,7,30,42.8,36.4,31.9,Sunny and Hot,,Abu Dhabi
2022,12,12,27.5,22.4,16.9,Sunny and Warm,,Abu Dhabi
2020,9,16,41.7,33.9,26.2,Sunny and Hot,,Abu Dhabi
2018,4,19,32,26.7,21.6,Sunny and Warm,,Abu Dhabi
2019,9,24,44.8,35.5,28.5,Sunny and Hot,,Abu Dhabi
2022,7,2,42.5,34.9,30.5,Sunny and Hot,,Abu Dhabi
2020,7,5,45.8,38,31.7,Sunny and Hot,,Abu Dhabi
2019,11,30,28.3,22.9,17.1,Sunny and Warm,,Abu Dhabi
2020,5,9,39.4,31.7,24.2,Sunny and Hot,,Abu Dhabi
2018,1,27,31.1,20.8,12.8,Sunny and Warm,,Abu Dhabi
2018,12,18,27.9,21,14.7,Sunny and Warm,,Abu Dhabi
2020,6,14,45.7,35.9,28.5,Sunny and Hot,,Abu Dhabi
2018,5,27,42.2,35.2,30.1,Sunny and Hot,,Abu Dhabi
2018,4,9,35,28.2,23.1,Sunny and Warm,,Abu Dhabi
2019,2,21,23.6,18.4,12.9,Cold and Cloudy,,Abu Dhabi
2020,4,20,38.9,31.3,27.3,Sunny and Hot,,Abu Dhabi
2018,10,31,31.2,27,21.6,Sunny and Warm,,Abu Dhabi
2018,12,28,27.7,19.4,12.8,Cold and Cloudy,,Abu Dhabi
2021,10,16,40.1,31.4,25.4,Sunny and Hot,,Abu Dhabi
2022,9,6,45.5,36.4,29.2,Sunny and Hot,,Abu Dhabi
2022,5,5,40.6,31.3,22.8,Sunny and Hot,,Abu Dhabi
2020,1,15,21.7,17.2,14,Cold and Cloudy,,Abu Dhabi
2021,3,9,33.5,23.8,15.1,Sunny and Warm,,Abu Dhabi
2020,10,27,35.4,27.1,19.2,Sunny and Warm,,Abu Dhabi
2022,7,31,45.6,38.3,32.5,Sunny and Hot,,Abu Dhabi
2021,9,12,46,37.3,31.5,Sunny and Hot,,Abu Dhabi
2019,12,2,29.3,22.8,16.6,Sunny and Warm,,Abu Dhabi
2021,2,25,35.5,24.9,20.3,Sunny and Warm,,Abu Dhabi
2018,11,18,30.8,27.4,24.5,Sunny and Warm,,Abu Dhabi
2022,9,24,40.1,32.7,25.7,Sunny and Hot,,Abu Dhabi
2021,1,21,26.7,18.6,12.5,Cold and Cloudy,,Abu Dhabi
2020,2,28,24.7,21,18.5,Sunny and Warm,,Abu Dhabi
2019,2,9,28.3,19.6,11.1,Cold and Cloudy,,Abu Dhabi
2023,1,10,30.6,22.4,16.7,Sunny and Warm,,Abu Dhabi
2020,7,14,45.9,39.6,34.2,Sunny and Hot,,Abu Dhabi
2022,2,18,27.7,19.4,11.5,Cold and Cloudy,,Abu Dhabi
2021,9,18,45.2,35.5,28.1,Sunny and Hot,,Abu Dhabi
2020,2,25,36.2,27.7,20.2,Sunny and Warm,,Abu Dhabi
2018,8,26,46.5,36.4,31.7,Sunny and Hot,,Abu Dhabi
2023,1,2,27,21.2,15.7,Sunny and Warm,,Abu Dhabi
2019,1,25,29.3,20.6,12.5,Sunny and Warm,,Abu Dhabi
2018,3,20,30,22.5,14.9,Sunny and Warm,,Abu Dhabi
2019,11,29,28.6,22.2,16.2,Sunny and Warm,,Abu Dhabi
2018,11,10,35.2,27.3,21.3,Sunny and Warm,,Abu Dhabi
2018,11,18,30.8,27.4,24.5,Sunny and Warm,,Abu Dhabi
2021,9,8,44.4,35,28.3,Sunny and Hot,,Abu Dhabi
2022,12,24,29.7,23.5,17.4,Sunny and Warm,,Abu Dhabi
2022,6,23,48.7,38.6,29.5,Sunny and Hot,,Abu Dhabi
2018,10,23,36.8,30.5,24.5,Sunny and Hot,,Abu Dhabi
2019,11,15,30.3,22.9,15.4,Sunny and Warm,,Abu Dhabi
2022,3,14,38.8,28.5,20.3,Sunny and Warm,,Abu Dhabi
2020,10,30,36.5,27,18.1,Sunny and Warm,,Abu Dhabi
2022,5,16,40.1,32.3,26.3,Sunny and Hot,,Abu Dhabi
2023,1,4,29.4,22.2,16.9,Sunny and Warm,,Abu Dhabi
2021,7,2,45.5,37,29.3,Sunny and Hot,,Abu Dhabi
2022,7,25,47.7,38,32.8,Sunny and Hot,,Abu Dhabi
2019,12,3,29.1,23,17.2,Sunny and Warm,,Abu Dhabi
2023,1,26,23.2,18.3,15.7,Cold and Cloudy,,Abu Dhabi
2019,5,14,39.6,32.3,25.3,Sunny and Hot,,Abu Dhabi
2020,4,17,31.9,25.8,21.6,Sunny and Warm,,Abu Dhabi
2018,7,25,44.5,36.2,28.3,Sunny and Hot,,Abu Dhabi
2022,6,24,47.3,38.9,33,Sunny and Hot,,Abu Dhabi
2018,12,7,32.2,23.6,16.8,Sunny and Warm,,Abu Dhabi
2021,12,31,28.9,22.8,18.6,Sunny and Warm,,Abu Dhabi
2023,1,13,26.2,20.2,16,Sunny and Warm,,Abu Dhabi
2022,1,15,27.3,22.2,16.3,Sunny and Warm,,Abu Dhabi
2020,1,12,20.4,17.5,14,Cold and Cloudy,,Abu Dhabi
2021,7,9,46.8,38.6,32.9,Sunny and Hot,,Abu Dhabi
2020,3,6,31,20.9,12.3,Sunny and Warm,,Abu Dhabi
2019,4,4,41.5,32,24.2,Sunny and Hot,,Abu Dhabi
2019,5,15,40.9,33.4,24.9,Sunny and Hot,,Abu Dhabi
2018,8,13,43.2,36.3,30.6,Sunny and Hot,,Abu Dhabi
2018,1,26,28.3,18.8,13,Cold and Cloudy,,Abu Dhabi
2021,4,24,43.5,32.3,23.1,Sunny and Hot,,Abu Dhabi
